"train/global_step","togethercomputer/Meta-Llama-3.1-8B-Instruct-Reference__TOG__FT-ft-dfe1160d-881e-4202-93f9-3cb788e15c1b - _step","togethercomputer/Meta-Llama-3.1-8B-Instruct-Reference__TOG__FT-ft-dfe1160d-881e-4202-93f9-3cb788e15c1b - _step__MIN","togethercomputer/Meta-Llama-3.1-8B-Instruct-Reference__TOG__FT-ft-dfe1160d-881e-4202-93f9-3cb788e15c1b - _step__MAX","togethercomputer/Meta-Llama-3.1-8B-Instruct-Reference__TOG__FT-ft-dfe1160d-881e-4202-93f9-3cb788e15c1b - train/loss","togethercomputer/Meta-Llama-3.1-8B-Instruct-Reference__TOG__FT-ft-dfe1160d-881e-4202-93f9-3cb788e15c1b - train/loss__MIN","togethercomputer/Meta-Llama-3.1-8B-Instruct-Reference__TOG__FT-ft-dfe1160d-881e-4202-93f9-3cb788e15c1b - train/loss__MAX"
"1","0","0","0","0.4674","0.4674","0.4674"
"2","1","1","1","0.4189","0.4189","0.4189"
"3","2","2","2","0.492","0.492","0.492"
"4","3","3","3","0.4366","0.4366","0.4366"
"5","4","4","4","0.4491","0.4491","0.4491"
"6","5","5","5","0.4408","0.4408","0.4408"
"7","6","6","6","0.4592","0.4592","0.4592"
"8","7","7","7","0.4489","0.4489","0.4489"
"9","8","8","8","0.4358","0.4358","0.4358"
"10","9","9","9","0.4194","0.4194","0.4194"
"11","10","10","10","0.406","0.406","0.406"
"12","11","11","11","0.4085","0.4085","0.4085"
"13","12","12","12","0.4178","0.4178","0.4178"
"14","13","13","13","0.4202","0.4202","0.4202"
"15","14","14","14","0.4101","0.4101","0.4101"
"16","16","16","16","0.3917","0.3917","0.3917"
"17","17","17","17","0.4193","0.4193","0.4193"
"18","18","18","18","0.4101","0.4101","0.4101"
"19","19","19","19","0.4035","0.4035","0.4035"
"20","20","20","20","0.4335","0.4335","0.4335"
"21","21","21","21","0.4305","0.4305","0.4305"
"22","22","22","22","0.422","0.422","0.422"
"23","23","23","23","0.4524","0.4524","0.4524"
"24","24","24","24","0.3821","0.3821","0.3821"
"25","25","25","25","0.3977","0.3977","0.3977"
"26","26","26","26","0.3916","0.3916","0.3916"
"27","27","27","27","0.3548","0.3548","0.3548"
"28","28","28","28","0.3666","0.3666","0.3666"
"29","29","29","29","0.3699","0.3699","0.3699"
"30","30","30","30","0.3812","0.3812","0.3812"
"31","32","32","32","0.3626","0.3626","0.3626"
"32","33","33","33","0.3532","0.3532","0.3532"
"33","34","34","34","0.3998","0.3998","0.3998"
"34","35","35","35","0.4007","0.4007","0.4007"
"35","36","36","36","0.3314","0.3314","0.3314"
"36","37","37","37","0.3909","0.3909","0.3909"
"37","38","38","38","0.3668","0.3668","0.3668"
"38","39","39","39","0.3832","0.3832","0.3832"
"39","40","40","40","0.4151","0.4151","0.4151"
"40","41","41","41","0.4356","0.4356","0.4356"
"41","42","42","42","0.3673","0.3673","0.3673"
"42","43","43","43","0.4035","0.4035","0.4035"
"43","44","44","44","0.3743","0.3743","0.3743"
"44","45","45","45","0.371","0.371","0.371"
"45","46","46","46","0.3745","0.3745","0.3745"
"46","48","48","48","0.3713","0.3713","0.3713"
"47","49","49","49","0.3707","0.3707","0.3707"
"48","50","50","50","0.392","0.392","0.392"
"49","51","51","51","0.3729","0.3729","0.3729"
"50","52","52","52","0.404","0.404","0.404"
"51","53","53","53","0.3499","0.3499","0.3499"
"52","54","54","54","0.3591","0.3591","0.3591"
"53","55","55","55","0.3433","0.3433","0.3433"
"54","56","56","56","0.3759","0.3759","0.3759"
"55","57","57","57","0.3533","0.3533","0.3533"
"56","58","58","58","0.4026","0.4026","0.4026"
"57","59","59","59","0.3861","0.3861","0.3861"
"58","60","60","60","0.3779","0.3779","0.3779"
"59","61","61","61","0.3409","0.3409","0.3409"
"60","62","62","62","0.371","0.371","0.371"
"61","64","64","64","0.3606","0.3606","0.3606"
"62","65","65","65","0.3892","0.3892","0.3892"
"63","66","66","66","0.3805","0.3805","0.3805"
"64","67","67","67","0.3504","0.3504","0.3504"
"65","68","68","68","0.3606","0.3606","0.3606"
"66","69","69","69","0.3608","0.3608","0.3608"
"67","70","70","70","0.3587","0.3587","0.3587"
"68","71","71","71","0.3888","0.3888","0.3888"
"69","72","72","72","0.3321","0.3321","0.3321"
"70","73","73","73","0.3411","0.3411","0.3411"
"71","74","74","74","0.3787","0.3787","0.3787"
"72","75","75","75","0.3428","0.3428","0.3428"
"73","76","76","76","0.3633","0.3633","0.3633"
"74","77","77","77","0.3705","0.3705","0.3705"
"75","78","78","78","0.3943","0.3943","0.3943"
"76","80","80","80","0.3684","0.3684","0.3684"
"77","81","81","81","0.3445","0.3445","0.3445"
"78","82","82","82","0.3504","0.3504","0.3504"
"79","83","83","83","0.3647","0.3647","0.3647"
"80","84","84","84","0.3693","0.3693","0.3693"
"81","85","85","85","0.3718","0.3718","0.3718"
"82","86","86","86","0.3816","0.3816","0.3816"
"83","87","87","87","0.3552","0.3552","0.3552"
"84","88","88","88","0.3289","0.3289","0.3289"
"85","89","89","89","0.3465","0.3465","0.3465"
"86","90","90","90","0.3357","0.3357","0.3357"
"87","91","91","91","0.3337","0.3337","0.3337"
"88","92","92","92","0.3629","0.3629","0.3629"
"89","93","93","93","0.3785","0.3785","0.3785"
"90","94","94","94","0.3492","0.3492","0.3492"
"91","96","96","96","0.3331","0.3331","0.3331"
"92","97","97","97","0.3192","0.3192","0.3192"
"93","98","98","98","0.4054","0.4054","0.4054"
"94","99","99","99","0.3716","0.3716","0.3716"
"95","100","100","100","0.3238","0.3238","0.3238"
"96","101","101","101","0.3953","0.3953","0.3953"
"97","102","102","102","0.338","0.338","0.338"
"98","103","103","103","0.3757","0.3757","0.3757"
"99","104","104","104","0.3817","0.3817","0.3817"
"100","105","105","105","0.3749","0.3749","0.3749"
"101","106","106","106","0.3531","0.3531","0.3531"
"102","107","107","107","0.3413","0.3413","0.3413"
"103","108","108","108","0.366","0.366","0.366"
"104","109","109","109","0.3622","0.3622","0.3622"
"105","110","110","110","0.3819","0.3819","0.3819"
"106","112","112","112","0.3303","0.3303","0.3303"
"107","113","113","113","0.3858","0.3858","0.3858"
"108","114","114","114","0.3365","0.3365","0.3365"
"109","115","115","115","0.3542","0.3542","0.3542"
"110","116","116","116","0.3181","0.3181","0.3181"
"111","117","117","117","0.3609","0.3609","0.3609"
"112","118","118","118","0.3218","0.3218","0.3218"
"113","119","119","119","0.3135","0.3135","0.3135"
"114","120","120","120","0.3253","0.3253","0.3253"
"115","121","121","121","0.42","0.42","0.42"
"116","122","122","122","0.3655","0.3655","0.3655"
"117","123","123","123","0.3802","0.3802","0.3802"
"118","124","124","124","0.3606","0.3606","0.3606"
"119","125","125","125","0.3445","0.3445","0.3445"
"120","126","126","126","0.351","0.351","0.351"
